nu,p,h,Total KSP Iterations,SNES Solve Time,DoFs/Sec in SNES,L2 Error
0.49,4,14,61,14.3804,2.11723,6.1892280e-08
0.49,4,15,61,17.8152,2.10968,4.1058470e-08
0.49999,1,4,10,0.153673,0.00527093,4.3853430e-01
0.49999,1,5,13,0.215051,0.0116065,3.2399380e-01
0.49999,1,6,18,0.309497,0.0218096,2.6980140e-01
0.49999,1,7,23,0.442699,0.0336662,2.3895600e-01
0.49999,1,8,29,0.63991,0.0466331,2.1901740e-01
0.49999,1,9,36,0.853044,0.064822,2.0513680e-01
0.49999,1,10,44,1.06685,0.0901987,1.9491670e-01
0.49999,1,11,51,1.41809,0.107891,1.8707670e-01
0.49999,1,12,60,1.77174,0.135223,1.8086310e-01
0.49999,1,13,68,2.18535,0.161307,1.7580720e-01
0.49999,1,14,76,2.66818,0.187737,1.7160210e-01
0.49999,1,15,86,3.22892,0.219253,1.6803930e-01
0.49999,2,4,334,0.215607,1.59404,1.3092360e-01
0.49999,2,5,516,0.624799,1.80617,7.7150610e-02
0.49999,2,6,670,1.36562,1.95904,5.1210050e-02
0.49999,2,7,779,2.55725,2.00778,3.6420970e-02
0.49999,2,8,857,4.2571,2.03827,2.7181730e-02
0.49999,2,9,912,6.54994,2.05223,2.1033740e-02
0.49999,2,10,965,9.42631,2.10653,1.6742510e-02
0.49999,2,11,978,13.0199,2.08694,1.3631950e-02
0.49999,2,12,1017,17.6579,2.10226,1.1307030e-02
0.49999,2,13,1020,23.3766,2.04531,9.5246490e-03
0.49999,2,14,1019,29.6586,2.02879,8.1286970e-03
0.49999,2,15,1030,37.3844,2.01587,7.0153510e-03
0.49999,3,4,559,1.21909,1.83095,8.0672700e-03
0.49999,3,5,725,2.96118,2.01548,3.9659860e-03
0.49999,3,6,893,6.64069,1.98201,2.2645440e-03
0.49999,3,7,980,11.4178,2.05995,1.4094880e-03
0.49999,3,8,1006,17.6909,2.07564,9.3402250e-04
0.49999,3,9,1026,25.4216,2.12807,6.4947700e-04
0.49999,3,10,1042,38.8777,1.96102,4.6914850e-04
0.49999,3,11,1053,48.7671,2.12262,3.4949540e-04
0.49999,3,12,1053,64.8179,2.08958,2.6706180e-04
0.49999,3,13,1065,80.3808,2.18107,2.0846290e-04
0.49999,3,14,1062,102.046,2.1518,1.6569110e-04
0.49999,3,15,1066,133.33,2.04318,1.3375690e-04
0.49999,4,4,876,3.66319,2.42125,4.3155470e-04
0.49999,4,5,1123,9.36062,2.46864,1.7620610e-04
0.49999,4,6,1276,18.0257,2.58383,8.4506710e-05
0.49999,4,7,1367,31.1224,2.59363,4.5291940e-05
0.49999,4,8,1359,47.1403,2.57652,2.6345390e-05
0.49999,4,9,1372,69.3807,2.54355,1.6315760e-05
0.49999,4,10,1417,99.3811,2.53735,1.0619160e-05
0.49999,4,11,1415,136.859,2.46609,7.1928330e-06
0.49999,4,12,1412,179.638,2.44823,5.0384430e-06
0.49999,4,13,1420,227.404,2.48498,3.6271480e-06
0.49999,4,14,1422,287.067,2.47244,2.6771220e-06
0.49999,4,15,1428,355.267,2.47657,2.0170080e-06
0.499999,1,4,10,0.150941,0.00536634,4.3865730e-01
0.499999,1,5,13,0.218358,0.0114308,3.2416080e-01
0.499999,1,6,18,0.316821,0.0213054,2.7001810e-01
0.499999,1,7,23,0.451557,0.0330058,2.3923620e-01
0.499999,1,8,29,0.647687,0.0460732,2.1937130e-01
0.499999,1,9,36,0.859677,0.0643218,2.0557720e-01
0.499999,1,10,44,1.07301,0.08968,1.9545620e-01
0.499999,1,11,52,1.42447,0.109515,1.8772830e-01
